"expense_category","household_type","annual_cost","state_name"
"Medical","2 Adults",4799,"Alabama"
"Housing","2 Adults",6626,"Alabama"
"Transportation","2 Adults",8554,"Alabama"
"Other","2 Adults",3916,"Alabama"
"Required annual income after taxes","2 Adults",29435,"Alabama"
"Annual taxes","2 Adults",4568,"Alabama"
"Required annual income before taxes","2 Adults",34004,"Alabama"
"Food","2 Adults 1 Child",6898,"Alabama"
"Child Care","2 Adults 1 Child",5062,"Alabama"
"Medical","2 Adults 1 Child",5407,"Alabama"
"Housing","2 Adults 1 Child",8155,"Alabama"
"Transportation","2 Adults 1 Child",9859,"Alabama"
"Other","2 Adults 1 Child",4284,"Alabama"
"Required annual income after taxes","2 Adults 1 Child",39667,"Alabama"
"Annual taxes","2 Adults 1 Child",6156,"Alabama"
"Required annual income before taxes","2 Adults 1 Child",45824,"Alabama"
"Food","2 Adults 2 Children",8903,"Alabama"
"Child Care","2 Adults 2 Children",9869,"Alabama"
"Medical","2 Adults 2 Children",5471,"Alabama"
"Housing","2 Adults 2 Children",8155,"Alabama"
"Transportation","2 Adults 2 Children",11553,"Alabama"
"Other","2 Adults 2 Children",5178,"Alabama"
"Required annual income after taxes","2 Adults 2 Children",49131,"Alabama"
"Annual taxes","2 Adults 2 Children",7625,"Alabama"
"Required annual income before taxes","2 Adults 2 Children",56756,"Alabama"
"Food","2 Adults 3 Children",10835,"Alabama"
"Child Care","2 Adults 3 Children",14676,"Alabama"
"Medical","2 Adults 3 Children",5438,"Alabama"
"Housing","2 Adults 3 Children",10935,"Alabama"
"Transportation","2 Adults 3 Children",11037,"Alabama"
"Other","2 Adults 3 Children",4838,"Alabama"
"Required annual income after taxes","2 Adults 3 Children",57760,"Alabama"
"Annual taxes","2 Adults 3 Children",8964,"Alabama"
"Required annual income before taxes","2 Adults 3 Children",66724,"Alabama"
"Food","1 Adult",3607,"Alaska"
"Child Care","1 Adult",0,"Alaska"
"Medical","1 Adult",2086,"Alaska"
"Housing","1 Adult",8807,"Alaska"
"Transportation","1 Adult",4054,"Alaska"
"Other","1 Adult",2284,"Alaska"
"Required annual income after taxes","1 Adult",20837,"Alaska"
"Annual taxes","1 Adult",2400,"Alaska"
"Required annual income before taxes","1 Adult",23238,"Alaska"
"Food","1 Adult 1 Child",5319,"Alaska"
"Child Care","1 Adult 1 Child",7977,"Alaska"
"Medical","1 Adult 1 Child",6609,"Alaska"
"Housing","1 Adult 1 Child",13319,"Alaska"
"Transportation","1 Adult 1 Child",7382,"Alaska"
"Other","1 Adult 1 Child",3971,"Alaska"
"Required annual income after taxes","1 Adult 1 Child",44578,"Alaska"
"Annual taxes","1 Adult 1 Child",5135,"Alaska"
"Required annual income before taxes","1 Adult 1 Child",49713,"Alaska"
"Food","1 Adult 2 Children",8002,"Alaska"
"Child Care","1 Adult 2 Children",13295,"Alaska"
"Medical","1 Adult 2 Children",6397,"Alaska"
"Housing","1 Adult 2 Children",13319,"Alaska"
"Transportation","1 Adult 2 Children",8509,"Alaska"
"Other","1 Adult 2 Children",4344,"Alaska"
"Required annual income after taxes","1 Adult 2 Children",53867,"Alaska"
"Annual taxes","1 Adult 2 Children",6205,"Alaska"
"Required annual income before taxes","1 Adult 2 Children",60072,"Alaska"
"Food","1 Adult 3 Children",10607,"Alaska"
"Child Care","1 Adult 3 Children",18614,"Alaska"
"Medical","1 Adult 3 Children",6461,"Alaska"
"Housing","1 Adult 3 Children",18972,"Alaska"
"Transportation","1 Adult 3 Children",9970,"Alaska"
"Other","1 Adult 3 Children",5250,"Alaska"
"Required annual income after taxes","1 Adult 3 Children",69875,"Alaska"
"Annual taxes","1 Adult 3 Children",8050,"Alaska"
"Required annual income before taxes","1 Adult 3 Children",77924,"Alaska"
"Food","2 Adults (One Working)",6612,"Alaska"
"Child Care","2 Adults (One Working)",0,"Alaska"
"Medical","2 Adults (One Working)",4854,"Alaska"
"Housing","2 Adults (One Working)",10254,"Alaska"
"Transportation","2 Adults (One Working)",7382,"Alaska"
"Other","2 Adults (One Working)",3971,"Alaska"
"Required annual income after taxes","2 Adults (One Working)",33073,"Alaska"
"Annual taxes","2 Adults (One Working)",3810,"Alaska"
"Required annual income before taxes","2 Adults (One Working)",36883,"Alaska"
"Food","2 Adults (One Working) 1 Child",8234,"Alaska"
"Child Care","2 Adults (One Working) 1 Child",0,"Alaska"
"Medical","2 Adults (One Working) 1 Child",6397,"Alaska"
"Housing","2 Adults (One Working) 1 Child",13319,"Alaska"
"Transportation","2 Adults (One Working) 1 Child",8509,"Alaska"
"Other","2 Adults (One Working) 1 Child",4344,"Alaska"
"Required annual income after taxes","2 Adults (One Working) 1 Child",40803,"Alaska"
"Annual taxes","2 Adults (One Working) 1 Child",4700,"Alaska"
"Required annual income before taxes","2 Adults (One Working) 1 Child",45503,"Alaska"
"Food","2 Adults (One Working) 2 Children",10627,"Alaska"
"Child Care","2 Adults (One Working) 2 Children",0,"Alaska"
"Medical","2 Adults (One Working) 2 Children",6461,"Alaska"
"Housing","2 Adults (One Working) 2 Children",13319,"Alaska"
"Transportation","2 Adults (One Working) 2 Children",9970,"Alaska"
"Other","2 Adults (One Working) 2 Children",5250,"Alaska"
"Required annual income after taxes","2 Adults (One Working) 2 Children",45628,"Alaska"
"Annual taxes","2 Adults (One Working) 2 Children",5256,"Alaska"
"Required annual income before taxes","2 Adults (One Working) 2 Children",50884,"Alaska"
"Food","2 Adults (One Working) 3 Children",12932,"Alaska"
"Child Care","2 Adults (One Working) 3 Children",0,"Alaska"
"Medical","2 Adults (One Working) 3 Children",6428,"Alaska"
"Housing","2 Adults (One Working) 3 Children",18972,"Alaska"
"Transportation","2 Adults (One Working) 3 Children",9525,"Alaska"
"Other","2 Adults (One Working) 3 Children",4905,"Alaska"
"Required annual income after taxes","2 Adults (One Working) 3 Children",52763,"Alaska"
"Annual taxes","2 Adults (One Working) 3 Children",6078,"Alaska"
"Required annual income before taxes","2 Adults (One Working) 3 Children",58842,"Alaska"
"Food","2 Adults",6612,"Alaska"
"Child Care","2 Adults",0,"Alaska"
"Medical","2 Adults",4854,"Alaska"
"Housing","2 Adults",10254,"Alaska"
"Transportation","2 Adults",7382,"Alaska"
"Other","2 Adults",3971,"Alaska"
"Required annual income after taxes","2 Adults",33073,"Alaska"
"Annual taxes","2 Adults",3810,"Alaska"
"Required annual income before taxes","2 Adults",36883,"Alaska"
"Food","2 Adults 1 Child",8234,"Alaska"
"Child Care","2 Adults 1 Child",7977,"Alaska"
"Medical","2 Adults 1 Child",6397,"Alaska"
"Housing","2 Adults 1 Child",13319,"Alaska"
"Transportation","2 Adults 1 Child",8509,"Alaska"
"Other","2 Adults 1 Child",4344,"Alaska"
"Required annual income after taxes","2 Adults 1 Child",48780,"Alaska"
"Annual taxes","2 Adults 1 Child",5619,"Alaska"
"Required annual income before taxes","2 Adults 1 Child",54400,"Alaska"
"Food","2 Adults 2 Children",10627,"Alaska"
"Child Care","2 Adults 2 Children",13295,"Alaska"
"Medical","2 Adults 2 Children",6461,"Alaska"
"Housing","2 Adults 2 Children",13319,"Alaska"
"Transportation","2 Adults 2 Children",9970,"Alaska"
"Other","2 Adults 2 Children",5250,"Alaska"
"Required annual income after taxes","2 Adults 2 Children",58923,"Alaska"
"Annual taxes","2 Adults 2 Children",6788,"Alaska"
"Required annual income before taxes","2 Adults 2 Children",65711,"Alaska"
"Food","2 Adults 3 Children",12932,"Alaska"
"Child Care","2 Adults 3 Children",18614,"Alaska"
"Medical","2 Adults 3 Children",6428,"Alaska"
"Housing","2 Adults 3 Children",18972,"Alaska"
"Transportation","2 Adults 3 Children",9525,"Alaska"
"Other","2 Adults 3 Children",4905,"Alaska"
"Required annual income after taxes","2 Adults 3 Children",71377,"Alaska"
"Annual taxes","2 Adults 3 Children",8223,"Alaska"
"Required annual income before taxes","2 Adults 3 Children",79599,"Alaska"
"Food","1 Adult",3607,"Arizona"
"Child Care","1 Adult",0,"Arizona"
"Medical","1 Adult",2086,"Arizona"
"Housing","1 Adult",7004,"Arizona"
"Transportation","1 Adult",4054,"Arizona"
"Other","1 Adult",2284,"Arizona"
"Required annual income after taxes","1 Adult",19034,"Arizona"
"Annual taxes","1 Adult",2741,"Arizona"
"Required annual income before taxes","1 Adult",21775,"Arizona"
"Food","1 Adult 1 Child",5319,"Arizona"
"Child Care","1 Adult 1 Child",6494,"Arizona"
"Medical","1 Adult 1 Child",6624,"Arizona"
"Housing","1 Adult 1 Child",10885,"Arizona"
"Transportation","1 Adult 1 Child",7382,"Arizona"
"Other","1 Adult 1 Child",3971,"Arizona"
"Required annual income after taxes","1 Adult 1 Child",40676,"Arizona"
"Annual taxes","1 Adult 1 Child",5857,"Arizona"
"Required annual income before taxes","1 Adult 1 Child",46533,"Arizona"
"Food","1 Adult 2 Children",8002,"Arizona"
"Child Care","1 Adult 2 Children",12784,"Arizona"
"Medical","1 Adult 2 Children",6413,"Arizona"
"Housing","1 Adult 2 Children",10885,"Arizona"
"Transportation","1 Adult 2 Children",8509,"Arizona"
"Other","1 Adult 2 Children",4344,"Arizona"
"Required annual income after taxes","1 Adult 2 Children",50936,"Arizona"
"Annual taxes","1 Adult 2 Children",7335,"Arizona"
"Required annual income before taxes","1 Adult 2 Children",58271,"Arizona"
"Food","1 Adult 3 Children",10607,"Arizona"
"Child Care","1 Adult 3 Children",19074,"Arizona"
"Medical","1 Adult 3 Children",6477,"Arizona"
"Housing","1 Adult 3 Children",15887,"Arizona"
"Transportation","1 Adult 3 Children",9970,"Arizona"
"Other","1 Adult 3 Children",5250,"Arizona"
"Required annual income after taxes","1 Adult 3 Children",67266,"Arizona"
"Annual taxes","1 Adult 3 Children",9686,"Arizona"
"Required annual income before taxes","1 Adult 3 Children",76952,"Arizona"
"Food","2 Adults (One Working)",6612,"Arizona"
"Child Care","2 Adults (One Working)",0,"Arizona"
"Medical","2 Adults (One Working)",5020,"Arizona"
"Housing","2 Adults (One Working)",8647,"Arizona"
"Transportation","2 Adults (One Working)",7382,"Arizona"
"Other","2 Adults (One Working)",3971,"Arizona"
"Required annual income after taxes","2 Adults (One Working)",31632,"Arizona"
"Annual taxes","2 Adults (One Working)",4555,"Arizona"
"Required annual income before taxes","2 Adults (One Working)",36187,"Arizona"
"Food","2 Adults (One Working) 1 Child",8234,"Arizona"
"Child Care","2 Adults (One Working) 1 Child",0,"Arizona"
"Medical","2 Adults (One Working) 1 Child",6413,"Arizona"
"Housing","2 Adults (One Working) 1 Child",10885,"Arizona"
"Transportation","2 Adults (One Working) 1 Child",8509,"Arizona"
"Other","2 Adults (One Working) 1 Child",4344,"Arizona"
"Required annual income after taxes","2 Adults (One Working) 1 Child",38384,"Arizona"
"Annual taxes","2 Adults (One Working) 1 Child",5527,"Arizona"
"Required annual income before taxes","2 Adults (One Working) 1 Child",43911,"Arizona"
"Food","2 Adults (One Working) 2 Children",10627,"Arizona"
"Child Care","2 Adults (One Working) 2 Children",0,"Arizona"
"Medical","2 Adults (One Working) 2 Children",6477,"Arizona"
"Housing","2 Adults (One Working) 2 Children",10885,"Arizona"
"Transportation","2 Adults (One Working) 2 Children",9970,"Arizona"
"Other","2 Adults (One Working) 2 Children",5250,"Arizona"
"Required annual income after taxes","2 Adults (One Working) 2 Children",43209,"Arizona"
"Annual taxes","2 Adults (One Working) 2 Children",6222,"Arizona"
"Required annual income before taxes","2 Adults (One Working) 2 Children",49431,"Arizona"
"Food","2 Adults (One Working) 3 Children",12932,"Arizona"
"Child Care","2 Adults (One Working) 3 Children",0,"Arizona"
"Medical","2 Adults (One Working) 3 Children",6444,"Arizona"
"Housing","2 Adults (One Working) 3 Children",15887,"Arizona"
"Transportation","2 Adults (One Working) 3 Children",9525,"Arizona"
"Other","2 Adults (One Working) 3 Children",4905,"Arizona"
"Required annual income after taxes","2 Adults (One Working) 3 Children",49694,"Arizona"
"Annual taxes","2 Adults (One Working) 3 Children",7156,"Arizona"
"Required annual income before taxes","2 Adults (One Working) 3 Children",56850,"Arizona"
"Food","2 Adults",6612,"Arizona"
"Child Care","2 Adults",0,"Arizona"
"Medical","2 Adults",5020,"Arizona"
"Housing","2 Adults",8647,"Arizona"
"Transportation","2 Adults",7382,"Arizona"
"Other","2 Adults",3971,"Arizona"
"Required annual income after taxes","2 Adults",31632,"Arizona"
"Annual taxes","2 Adults",4555,"Arizona"
"Required annual income before taxes","2 Adults",36187,"Arizona"
"Food","2 Adults 1 Child",8234,"Arizona"
"Child Care","2 Adults 1 Child",6494,"Arizona"
"Medical","2 Adults 1 Child",6413,"Arizona"
"Housing","2 Adults 1 Child",10885,"Arizona"
"Transportation","2 Adults 1 Child",8509,"Arizona"
"Other","2 Adults 1 Child",4344,"Arizona"
"Required annual income after taxes","2 Adults 1 Child",44878,"Arizona"
"Annual taxes","2 Adults 1 Child",6462,"Arizona"
"Required annual income before taxes","2 Adults 1 Child",51341,"Arizona"
"Food","2 Adults 2 Children",10627,"Arizona"
"Child Care","2 Adults 2 Children",12784,"Arizona"
"Medical","2 Adults 2 Children",6477,"Arizona"
"Housing","2 Adults 2 Children",10885,"Arizona"
"Transportation","2 Adults 2 Children",9970,"Arizona"
"Other","2 Adults 2 Children",5250,"Arizona"
"Required annual income after taxes","2 Adults 2 Children",55993,"Arizona"
"Annual taxes","2 Adults 2 Children",8063,"Arizona"
"Required annual income before taxes","2 Adults 2 Children",64056,"Arizona"
"Food","2 Adults 3 Children",12932,"Arizona"
"Child Care","2 Adults 3 Children",19074,"Arizona"
"Medical","2 Adults 3 Children",6444,"Arizona"
"Housing","2 Adults 3 Children",15887,"Arizona"
"Transportation","2 Adults 3 Children",9525,"Arizona"
"Other","2 Adults 3 Children",4905,"Arizona"
"Required annual income after taxes","2 Adults 3 Children",68768,"Arizona"
"Annual taxes","2 Adults 3 Children",9903,"Arizona"
"Required annual income before taxes","2 Adults 3 Children",78671,"Arizona"
"Food","1 Adult",3022,"Arkansas"
"Child Care","1 Adult",0,"Arkansas"
"Medical","1 Adult",1961,"Arkansas"
"Housing","1 Adult",5498,"Arkansas"
"Transportation","1 Adult",4697,"Arkansas"
"Other","1 Adult",2253,"Arkansas"
"Required annual income after taxes","1 Adult",17431,"Arkansas"
"Annual taxes","1 Adult",2444,"Arkansas"
"Required annual income before taxes","1 Adult",19875,"Arkansas"
"Food","1 Adult 1 Child",4457,"Arkansas"
"Child Care","1 Adult 1 Child",4705,"Arkansas"
"Medical","1 Adult 1 Child",5783,"Arkansas"
"Housing","1 Adult 1 Child",7773,"Arkansas"
"Transportation","1 Adult 1 Child",8554,"Arkansas"
"Other","1 Adult 1 Child",3916,"Arkansas"
"Required annual income after taxes","1 Adult 1 Child",35187,"Arkansas"
"Annual taxes","1 Adult 1 Child",4933,"Arkansas"
"Required annual income before taxes","1 Adult 1 Child",40121,"Arkansas"
"Food","1 Adult 2 Children",6704,"Arkansas"
"Child Care","1 Adult 2 Children",10687,"Arkansas"
"Medical","1 Adult 2 Children",5571,"Arkansas"
"Housing","1 Adult 2 Children",7773,"Arkansas"
"Transportation","1 Adult 2 Children",9859,"Arkansas"
"Other","1 Adult 2 Children",4284,"Arkansas"
"Required annual income after taxes","1 Adult 2 Children",44880,"Arkansas"
"Annual taxes","1 Adult 2 Children",6292,"Arkansas"
"Required annual income before taxes","1 Adult 2 Children",51172,"Arkansas"
"Food","1 Adult 3 Children",8887,"Arkansas"
"Child Care","1 Adult 3 Children",16670,"Arkansas"
"Medical","1 Adult 3 Children",5635,"Arkansas"
"Housing","1 Adult 3 Children",10700,"Arkansas"
"Transportation","1 Adult 3 Children",11553,"Arkansas"
"Other","1 Adult 3 Children",5178,"Arkansas"
"Required annual income after taxes","1 Adult 3 Children",58624,"Arkansas"
"Annual taxes","1 Adult 3 Children",8219,"Arkansas"
"Required annual income before taxes","1 Adult 3 Children",66843,"Arkansas"
"Food","2 Adults (One Working)",5540,"Arkansas"
"Child Care","2 Adults (One Working)",0,"Arkansas"
"Medical","2 Adults (One Working)",4503,"Arkansas"
"Housing","2 Adults (One Working)",6096,"Arkansas"
"Transportation","2 Adults (One Working)",8554,"Arkansas"
"Other","2 Adults (One Working)",3916,"Arkansas"
"Required annual income after taxes","2 Adults (One Working)",28610,"Arkansas"
"Annual taxes","2 Adults (One Working)",4011,"Arkansas"
"Required annual income before taxes","2 Adults (One Working)",32621,"Arkansas"
"Food","2 Adults (One Working) 1 Child",6898,"Arkansas"
"Child Care","2 Adults (One Working) 1 Child",0,"Arkansas"
"Medical","2 Adults (One Working) 1 Child",5571,"Arkansas"
"Housing","2 Adults (One Working) 1 Child",7773,"Arkansas"
"Transportation","2 Adults (One Working) 1 Child",9859,"Arkansas"
"Other","2 Adults (One Working) 1 Child",4284,"Arkansas"
"Required annual income after taxes","2 Adults (One Working) 1 Child",34386,"Arkansas"
"Annual taxes","2 Adults (One Working) 1 Child",4821,"Arkansas"
"Required annual income before taxes","2 Adults (One Working) 1 Child",39207,"Arkansas"
"Food","2 Adults (One Working) 2 Children",8903,"Arkansas"
"Child Care","2 Adults (One Working) 2 Children",0,"Arkansas"
"Medical","2 Adults (One Working) 2 Children",5635,"Arkansas"
"Housing","2 Adults (One Working) 2 Children",7773,"Arkansas"
"Transportation","2 Adults (One Working) 2 Children",11553,"Arkansas"
"Other","2 Adults (One Working) 2 Children",5178,"Arkansas"
"Required annual income after taxes","2 Adults (One Working) 2 Children",39043,"Arkansas"
"Annual taxes","2 Adults (One Working) 2 Children",5474,"Arkansas"
"Required annual income before taxes","2 Adults (One Working) 2 Children",44516,"Arkansas"
"Food","2 Adults (One Working) 3 Children",10835,"Arkansas"
"Child Care","2 Adults (One Working) 3 Children",0,"Arkansas"
"Medical","2 Adults (One Working) 3 Children",5602,"Arkansas"
"Housing","2 Adults (One Working) 3 Children",10700,"Arkansas"
"Transportation","2 Adults (One Working) 3 Children",11037,"Arkansas"
"Other","2 Adults (One Working) 3 Children",4838,"Arkansas"
"Required annual income after taxes","2 Adults (One Working) 3 Children",43013,"Arkansas"
"Annual taxes","2 Adults (One Working) 3 Children",6030,"Arkansas"
"Required annual income before taxes","2 Adults (One Working) 3 Children",49044,"Arkansas"
"Food","2 Adults",5540,"Arkansas"
"Child Care","2 Adults",0,"Arkansas"
"Medical","2 Adults",4503,"Arkansas"
"Housing","2 Adults",6096,"Arkansas"
"Transportation","2 Adults",8554,"Arkansas"
"Other","2 Adults",3916,"Arkansas"
"Required annual income after taxes","2 Adults",28610,"Arkansas"
"Annual taxes","2 Adults",4011,"Arkansas"
"Required annual income before taxes","2 Adults",32621,"Arkansas"
"Food","2 Adults 1 Child",6898,"Arkansas"
"Child Care","2 Adults 1 Child",4705,"Arkansas"
"Medical","2 Adults 1 Child",5571,"Arkansas"
"Housing","2 Adults 1 Child",7773,"Arkansas"
"Transportation","2 Adults 1 Child",9859,"Arkansas"
"Other","2 Adults 1 Child",4284,"Arkansas"
"Required annual income after taxes","2 Adults 1 Child",39091,"Arkansas"
"Annual taxes","2 Adults 1 Child",5481,"Arkansas"
"Required annual income before taxes","2 Adults 1 Child",44571,"Arkansas"
"Food","2 Adults 2 Children",8903,"Arkansas"
"Child Care","2 Adults 2 Children",10687,"Arkansas"
"Medical","2 Adults 2 Children",5635,"Arkansas"
"Housing","2 Adults 2 Children",7773,"Arkansas"
"Transportation","2 Adults 2 Children",11553,"Arkansas"
"Other","2 Adults 2 Children",5178,"Arkansas"
"Required annual income after taxes","2 Adults 2 Children",49730,"Arkansas"
"Annual taxes","2 Adults 2 Children",6972,"Arkansas"
"Required annual income before taxes","2 Adults 2 Children",56702,"Arkansas"
"Food","2 Adults 3 Children",10835,"Arkansas"
"Child Care","2 Adults 3 Children",16670,"Arkansas"
"Medical","2 Adults 3 Children",5602,"Arkansas"
"Housing","2 Adults 3 Children",10700,"Arkansas"
"Transportation","2 Adults 3 Children",11037,"Arkansas"
"Other","2 Adults 3 Children",4838,"Arkansas"
"Required annual income after taxes","2 Adults 3 Children",59683,"Arkansas"
"Annual taxes","2 Adults 3 Children",8368,"Arkansas"
"Required annual income before taxes","2 Adults 3 Children",68051,"Arkansas"
"Food","1 Adult",3607,"California"
"Child Care","1 Adult",0,"California"
"Medical","1 Adult",2099,"California"
"Housing","1 Adult",10575,"California"
"Transportation","1 Adult",4054,"California"
"Other","1 Adult",2284,"California"
"Required annual income after taxes","1 Adult",22619,"California"
"Annual taxes","1 Adult",3058,"California"
"Required annual income before taxes","1 Adult",25677,"California"
"Food","1 Adult 1 Child",5319,"California"
"Child Care","1 Adult 1 Child",7312,"California"
"Medical","1 Adult 1 Child",6363,"California"
"Housing","1 Adult 1 Child",15939,"California"
"Transportation","1 Adult 1 Child",7382,"California"
"Other","1 Adult 1 Child",3971,"California"
"Required annual income after taxes","1 Adult 1 Child",46286,"California"
"Annual taxes","1 Adult 1 Child",6258,"California"
"Required annual income before taxes","1 Adult 1 Child",52544,"California"
"Food","1 Adult 2 Children",8002,"California"
"Child Care","1 Adult 2 Children",9869,"California"
"Medical","1 Adult 2 Children",6151,"California"
"Housing","1 Adult 2 Children",15939,"California"
"Transportation","1 Adult 2 Children",8509,"California"
"Other","1 Adult 2 Children",4344,"California"
"Required annual income after taxes","1 Adult 2 Children",52814,"California"
"Annual taxes","1 Adult 2 Children",7140,"California"
"Required annual income before taxes","1 Adult 2 Children",59954,"California"
"Food","1 Adult 3 Children",10607,"California"
"Child Care","1 Adult 3 Children",12426,"California"
"Medical","1 Adult 3 Children",6215,"California"
"Housing","1 Adult 3 Children",22296,"California"
"Transportation","1 Adult 3 Children",9970,"California"
"Other","1 Adult 3 Children",5250,"California"
"Required annual income after taxes","1 Adult 3 Children",66765,"California"
"Annual taxes","1 Adult 3 Children",9027,"California"
"Required annual income before taxes","1 Adult 3 Children",75791,"California"
"Food","2 Adults (One Working)",6612,"California"
"Child Care","2 Adults (One Working)",0,"California"
"Medical","2 Adults (One Working)",4817,"California"
"Housing","2 Adults (One Working)",12443,"California"
"Transportation","2 Adults (One Working)",7382,"California"
"Other","2 Adults (One Working)",3971,"California"
"Required annual income after taxes","2 Adults (One Working)",35226,"California"
"Annual taxes","2 Adults (One Working)",4763,"California"
"Required annual income before taxes","2 Adults (One Working)",39988,"California"
"Food","2 Adults (One Working) 1 Child",8234,"California"
"Child Care","2 Adults (One Working) 1 Child",0,"California"
"Medical","2 Adults (One Working) 1 Child",6151,"California"
"Housing","2 Adults (One Working) 1 Child",15939,"California"
"Transportation","2 Adults (One Working) 1 Child",8509,"California"
"Other","2 Adults (One Working) 1 Child",4344,"California"
"Required annual income after taxes","2 Adults (One Working) 1 Child",43176,"California"
"Annual taxes","2 Adults (One Working) 1 Child",5837,"California"
"Required annual income before taxes","2 Adults (One Working) 1 Child",49014,"California"
"Food","2 Adults (One Working) 2 Children",10627,"California"
"Child Care","2 Adults (One Working) 2 Children",0,"California"
"Medical","2 Adults (One Working) 2 Children",6215,"California"
"Housing","2 Adults (One Working) 2 Children",15939,"California"
"Transportation","2 Adults (One Working) 2 Children",9970,"California"
"Other","2 Adults (One Working) 2 Children",5250,"California"
"Required annual income after taxes","2 Adults (One Working) 2 Children",48001,"California"
"Annual taxes","2 Adults (One Working) 2 Children",6490,"California"
"Required annual income before taxes","2 Adults (One Working) 2 Children",54491,"California"
"Food","2 Adults (One Working) 3 Children",12932,"California"
"Child Care","2 Adults (One Working) 3 Children",0,"California"
"Medical","2 Adults (One Working) 3 Children",6182,"California"
"Housing","2 Adults (One Working) 3 Children",22296,"California"
"Transportation","2 Adults (One Working) 3 Children",9525,"California"
